,station,prediction_time,prediction_window,number_of_bikes_left,number_of_bikes_returned,net_difference
110,3,2022-08-28 04:00:00,15,0,0,0
111,3,2022-08-28 04:15:00,15,1,0,-1
112,3,2022-08-28 04:30:00,15,0,0,0
113,3,2022-08-28 04:45:00,15,0,0,0
114,3,2022-08-28 05:00:00,15,0,0,0
115,3,2022-08-28 05:15:00,15,0,1,1
116,3,2022-08-28 05:30:00,15,0,1,1
117,3,2022-08-28 05:45:00,15,0,2,2
118,3,2022-08-28 06:00:00,15,0,0,0
119,3,2022-08-28 06:15:00,15,0,1,1
120,3,2022-08-28 06:30:00,15,0,0,0
121,3,2022-08-28 06:45:00,15,2,0,-2
122,3,2022-08-28 07:00:00,15,1,0,-1
123,3,2022-08-28 07:15:00,15,0,0,0
124,3,2022-08-28 07:30:00,15,0,0,0
125,3,2022-08-28 07:45:00,15,0,0,0
126,3,2022-08-28 08:00:00,15,0,0,0
127,3,2022-08-28 08:15:00,15,0,0,0
128,3,2022-08-28 08:30:00,15,0,0,0
129,3,2022-08-28 08:45:00,15,0,0,0
130,3,2022-08-28 09:00:00,15,0,0,0
131,3,2022-08-28 09:15:00,15,0,0,0
132,3,2022-08-28 09:30:00,15,0,0,0
133,3,2022-08-28 09:45:00,15,0,0,0
134,3,2022-08-28 10:00:00,15,0,0,0
135,3,2022-08-28 10:15:00,15,1,0,-1
136,3,2022-08-28 10:30:00,15,0,0,0
137,3,2022-08-28 10:45:00,15,0,0,0
138,3,2022-08-28 11:00:00,15,0,2,2
139,3,2022-08-28 11:15:00,15,0,0,0
140,3,2022-08-28 11:30:00,15,1,0,-1
141,3,2022-08-28 11:45:00,15,0,0,0
142,3,2022-08-28 12:00:00,15,0,1,1
143,3,2022-08-28 12:15:00,15,0,0,0
144,3,2022-08-28 12:30:00,15,0,0,0
145,3,2022-08-28 12:45:00,15,0,0,0
146,3,2022-08-28 13:00:00,15,0,0,0
147,3,2022-08-28 13:15:00,15,0,0,0
148,3,2022-08-28 13:30:00,15,0,0,0
149,3,2022-08-28 13:45:00,15,0,0,0
150,3,2022-08-28 14:00:00,15,0,0,0
151,3,2022-08-28 14:15:00,15,0,0,0
152,3,2022-08-28 14:30:00,15,1,1,0
153,3,2022-08-28 14:45:00,15,0,2,2
154,3,2022-08-28 15:00:00,15,0,0,0
155,3,2022-08-28 15:15:00,15,1,1,0
156,3,2022-08-28 15:30:00,15,2,2,0
157,3,2022-08-28 15:45:00,15,2,1,-1
158,3,2022-08-28 16:00:00,15,0,0,0
159,3,2022-08-28 16:15:00,15,1,2,1
160,3,2022-08-28 16:30:00,15,0,1,1
161,3,2022-08-28 16:45:00,15,0,2,2
162,3,2022-08-28 17:00:00,15,5,1,-4
163,3,2022-08-28 17:15:00,15,0,7,7
164,3,2022-08-28 17:30:00,15,0,0,0
165,3,2022-08-28 17:45:00,15,1,4,3
166,3,2022-08-28 18:00:00,15,0,0,0
167,3,2022-08-28 18:15:00,15,0,0,0
168,3,2022-08-28 18:30:00,15,1,0,-1
169,3,2022-08-28 18:45:00,15,1,0,-1
170,3,2022-08-28 19:00:00,15,0,0,0
171,3,2022-08-28 19:15:00,15,1,1,0
172,3,2022-08-28 19:30:00,15,0,1,1
173,3,2022-08-28 19:45:00,15,0,1,1
174,3,2022-08-28 20:00:00,15,0,0,0
175,3,2022-08-28 20:15:00,15,4,0,-4
176,3,2022-08-28 20:30:00,15,0,2,2
177,3,2022-08-28 20:45:00,15,6,0,-6
178,3,2022-08-28 21:00:00,15,4,1,-3
179,3,2022-08-28 21:15:00,15,0,3,3
180,3,2022-08-28 21:30:00,15,5,2,-3
181,3,2022-08-28 21:45:00,15,1,0,-1
182,3,2022-08-28 22:00:00,15,0,0,0
183,3,2022-08-28 22:15:00,15,0,0,0
184,3,2022-08-28 22:30:00,15,0,2,2
185,3,2022-08-28 22:45:00,15,0,3,3
186,3,2022-08-28 23:00:00,15,2,0,-2
187,3,2022-08-28 23:15:00,15,0,0,0
188,3,2022-08-28 23:30:00,15,1,1,0
189,3,2022-08-28 23:45:00,15,0,0,0
190,4,2022-08-28 00:15:00,15,1,0,-1
191,4,2022-08-28 00:30:00,15,1,2,1
192,4,2022-08-28 00:45:00,15,1,3,2
193,4,2022-08-28 01:00:00,15,0,1,1
194,4,2022-08-28 01:15:00,15,0,1,1
195,4,2022-08-28 01:30:00,15,3,1,-2
196,4,2022-08-28 01:45:00,15,3,1,-2
197,4,2022-08-28 02:00:00,15,1,1,0
198,4,2022-08-28 02:15:00,15,0,2,2
199,4,2022-08-28 02:30:00,15,2,0,-2
200,4,2022-08-28 02:45:00,15,4,0,-4
201,4,2022-08-28 03:00:00,15,1,0,-1
202,4,2022-08-28 03:15:00,15,4,0,-4
203,4,2022-08-28 03:30:00,15,0,0,0
204,4,2022-08-28 03:45:00,15,2,1,-1
205,4,2022-08-28 04:00:00,15,0,1,1
206,4,2022-08-28 04:15:00,15,0,2,2
207,4,2022-08-28 04:30:00,15,0,0,0
208,4,2022-08-28 04:45:00,15,0,0,0
209,4,2022-08-28 05:00:00,15,0,0,0
210,4,2022-08-28 05:15:00,15,0,3,3
211,4,2022-08-28 05:30:00,15,0,0,0
212,4,2022-08-28 05:45:00,15,0,0,0
213,4,2022-08-28 06:00:00,15,1,0,-1
214,4,2022-08-28 06:15:00,15,5,0,-5
215,4,2022-08-28 06:30:00,15,0,0,0
216,4,2022-08-28 06:45:00,15,0,0,0
217,4,2022-08-28 07:00:00,15,0,0,0
218,4,2022-08-28 07:15:00,15,0,0,0
219,4,2022-08-28 07:30:00,15,1,0,-1
220,4,2022-08-28 07:45:00,15,1,0,-1
221,4,2022-08-28 08:00:00,15,0,0,0
222,4,2022-08-28 08:15:00,15,0,0,0
223,4,2022-08-28 08:30:00,15,0,0,0
224,4,2022-08-28 08:45:00,15,0,0,0
225,4,2022-08-28 09:00:00,15,0,0,0
226,4,2022-08-28 09:15:00,15,0,0,0
227,4,2022-08-28 09:30:00,15,0,0,0
228,4,2022-08-28 09:45:00,15,0,1,1
229,4,2022-08-28 10:00:00,15,0,0,0
230,4,2022-08-28 10:15:00,15,1,0,-1
231,4,2022-08-28 10:30:00,15,0,0,0
232,4,2022-08-28 10:45:00,15,0,2,2
233,4,2022-08-28 11:00:00,15,0,0,0
234,4,2022-08-28 11:15:00,15,1,0,-1
235,4,2022-08-28 11:30:00,15,0,0,0
236,4,2022-08-28 11:45:00,15,1,1,0
237,4,2022-08-28 12:00:00,15,2,0,-2
238,4,2022-08-28 12:15:00,15,0,1,1
239,4,2022-08-28 12:30:00,15,0,0,0
